campaign,condition_id,trial,payload,modulation,fec,repeats,inter_frame_silence,symbol_duration,frequency_zero,frequency_one,spacing_hz,noise_level,attenuation,success,ber,snr_db,airtime_s,coded_bits,payload_bytes,sync_fail,crc_fail,decode_cpu_ms,provenance
tsym,tsym_T0.080_N0.002_cpfsk_none_r1,10,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,75.7540183712294,8.32,104,5,0,0,472.01071796007454,SIMULATED_RX
tsym,tsym_T0.080_N0.002_cpfsk_none_r1,11,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,70.3743427414056,8.32,104,5,0,0,515.6662450172007,SIMULATED_RX
tsym,tsym_T0.080_N0.008_cpfsk_none_r1,0,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,62.26534137145088,8.32,104,5,0,0,471.9878640025854,SIMULATED_RX
tsym,tsym_T0.080_N0.008_cpfsk_none_r1,1,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,61.5339864135847,8.32,104,5,0,0,471.97550698183477,SIMULATED_RX
tsym,tsym_T0.080_N0.008_cpfsk_none_r1,2,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,56.396236066624624,8.32,104,5,0,0,471.8430209904909,SIMULATED_RX
tsym,tsym_T0.080_N0.008_cpfsk_none_r1,3,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,60.63869821195277,8.32,104,5,0,0,471.9089471036568,SIMULATED_RX
tsym,tsym_T0.080_N0.008_cpfsk_none_r1,4,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,62.21520563085417,8.32,104,5,0,0,517.3256789566949,SIMULATED_RX
tsym,tsym_T0.080_N0.008_cpfsk_none_r1,5,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,58.41928741574093,8.32,104,5,0,0,474.52052193693817,SIMULATED_RX
tsym,tsym_T0.080_N0.008_cpfsk_none_r1,6,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,61.92493037260709,8.32,104,5,0,0,472.8279550326988,SIMULATED_RX
tsym,tsym_T0.080_N0.008_cpfsk_none_r1,7,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,63.79807438063548,8.32,104,5,0,0,473.3012520009652,SIMULATED_RX
tsym,tsym_T0.080_N0.008_cpfsk_none_r1,8,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,60.85686851634144,8.32,104,5,0,0,516.8377399677411,SIMULATED_RX
tsym,tsym_T0.080_N0.008_cpfsk_none_r1,9,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,62.787364280412426,8.32,104,5,0,0,475.4309490090236,SIMULATED_RX
tsym,tsym_T0.080_N0.008_cpfsk_none_r1,10,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,64.038903450904,8.32,104,5,0,0,473.16581499762833,SIMULATED_RX
tsym,tsym_T0.080_N0.008_cpfsk_none_r1,11,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,59.63238829098404,8.32,104,5,0,0,517.9254709510133,SIMULATED_RX
tsym,tsym_T0.070_N0.002_cpfsk_none_r1,0,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,77.58529541157492,7.280000000000001,104,5,0,0,415.8553519519046,SIMULATED_RX
tsym,tsym_T0.070_N0.002_cpfsk_none_r1,1,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,73.84214699012846,7.280000000000001,104,5,0,0,453.10380100272596,SIMULATED_RX
